epoch,train_acc1,train_acc5,val_acc1,val_acc5
1,5.335447788238525,14.92319107055664,11.917999267578123,28.98600006103516
2,17.075916290283203,37.05356216430664,22.989999771118164,47.01399993896485
3,26.397104263305664,49.95820236206055,31.943998336791992,57.76599884033203
4,32.98695755004883,57.62812042236328,38.343997955322266,64.85399627685547
5,37.714988708496094,62.759010314941406,42.30799865722656,68.94999694824219
6,41.429725646972656,66.35116577148438,43.13199996948242,69.16999816894531
7,44.2027473449707,68.91163635253906,48.435997009277344,74.0979995727539
8,46.44624710083008,70.96834564208984,49.64399719238281,75.11399841308594
9,48.388851165771484,72.63992309570312,51.76799774169922,76.74199676513672
10,50.0403938293457,74.07025146484375,53.615997314453125,78.36799621582031
11,51.4233512878418,75.1417236328125,54.481998443603516,78.8759994506836
12,52.60736083984375,76.18709564208984,56.284000396728516,80.44599914550781
13,53.69744873046875,77.00299835205078,57.35799789428711,81.1780014038086
14,54.64479064941406,77.77684020996094,57.10799789428711,81.14799499511719
15,55.425621032714844,78.34937286376953,59.11199951171875,82.4280014038086
16,56.23139572143555,78.97481536865234,59.6099967956543,82.92599487304688
17,56.978755950927734,79.44469451904297,59.87399673461914,82.90399932861328
18,57.56153106689453,79.97103881835938,60.465999603271484,83.36399841308594
19,58.09693145751953,80.39851379394531,60.65199661254883,83.75399780273438
20,58.60411834716797,80.7691879272461,60.74399948120117,83.78399658203125
21,59.040008544921875,81.10076141357422,61.15399932861328,83.8499984741211
22,59.53061294555664,81.43637084960938,61.49399948120117,84.26799774169922
23,59.912357330322266,81.70477294921875,62.215999603271484,84.68599700927734
24,60.29003143310547,81.97566986083984,62.90399932861328,85.12799835205078
25,60.631858825683594,82.19023895263672,63.08399963378906,85.43799591064453
26,61.00539016723633,82.50627899169922,62.85599899291992,85.447998046875
27,61.32164001464844,82.69007873535156,62.917999267578125,85.23799896240234
28,61.56134033203125,82.89531707763672,63.547996520996094,85.63600158691406
29,61.85267639160156,83.05976104736328,63.82600021362305,85.84199523925781
30,62.10380172729492,83.27086639404297,63.58399963378906,85.63800048828125
31,67.73046112060547,86.61992645263672,70.13399505615234,89.447998046875
32,68.91227722167969,87.31358337402344,70.38199615478516,89.65399932861328
33,69.46551513671875,87.65250396728516,70.43999481201172,89.64599609375
34,69.74310302734375,87.8223648071289,70.64599609375,89.7719955444336
35,70.02070617675781,87.9533920288086,70.93799591064453,89.90399932861328
36,70.29366302490234,88.13983917236328,71.06999969482422,89.94999694824219
